eventname	origintime	hyplon	hyplat	hypdepth (km)	mw	network	station	stlon	stlat	stelev	hypdist	duration_e	duration_n	duration_horiz	pga	pgv	tPGV_origin	tPGV_parriv	tPGA_origin	tPGA_parriv	polygon	ask14	sk13	z16	ask14_dE	ask14_dE_std	ask14_dS	ask14_dS_std	ask14_dPol	ask14_dPol_std	ask14_dP	sk13_dE	sk13_dE_std	sk13_dS	sk13_dS_std	sk13_dPol	sk13_dPol_std	sk13_dP	z16_dE	z16_dE_std	z16_dS	z16_dS_std	z16_dPol	z16_dPol_std	z16_dP
127	2020/4/11T10:22:55.6	26.1795	35.2176	21	4.8	HP	AMT	21.7089	37.5324	482	476.7501934	60	60	60	0.000127997	1.48E-05	-17139551.47	-17139560.67	-17139555.04	-17139564.24	1	-0.465054289	0.058795635	-1.414598637	-0.225334057	0.110173683	0.02222386	0.173828639	-0.121445062	0.10801017	-0.124550882	-0.112820926	0.106491447	0.311828636	0.165433102	-0.178695094	0.099378435	-0.04611852	1.008544521	0.116456224	-0.04351318	0.168321075	-0.13043653	0.110764729	-0.052573958
150	2020/5/2T12:51:9.2	25.6915	34.4366	9	6	HP	AMT	21.7089	37.5324	482	496.9713731	60	60	60	0.000602893	0.000141127	-15316247.12	-15316256.32	-15316240.57	-15316249.77	1	-0.845068574	-0.648179926	-0.752277116	-0.930147423	0.106111378	0.02222386	0.173828639	-0.121445062	0.10801017	0.200248199	-1.180843283	0.102497743	0.311828636	0.165433102	-0.178695094	0.099378435	0.314928275	1.292843971	0.112683034	-0.04351318	0.168321075	-0.13043653	0.110764729	0.325448114
157	2020/5/2T16:44:31.3	25.6375	34.4577	5	4.8	HP	AMT	21.7089	37.5324	482	491.7464574	60	60	60	9.35E-05	1.60E-05	-15302245.18	-15302254.38	-15302239.34	-15302248.54	1	-0.631238641	-0.130948588	-1.596285668	-0.245896595	0.11412002	0.02222386	0.173828639	-0.121445062	0.10801017	-0.270172696	-0.194919121	0.110326472	0.311828636	0.165433102	-0.178695094	0.099378435	-0.153764548	0.940341723	0.12013804	-0.04351318	0.168321075	-0.13043653	0.110764729	-0.166058191
184	2020/5/16T2:30:28.1	25.719	34.3469	8	4	HP	AMT	21.7089	37.5324	482	505.7932327	60	60	60	3.37E-05	2.93E-06	-14143886.63	-14143895.83	-14143905.04	-14143914.24	1	0.208286134	0.578472617	-2.03584713	-0.030194475	0.132544136	0.02222386	0.173828639	-0.121445062	0.10801017	0.353649959	-0.03559069	0.128296532	0.311828636	0.165433102	-0.178695094	0.099378435	0.396328225	-0.033928878	0.137582008	-0.04351318	0.168321075	-0.13043653	0.110764729	0.368650948
190	2020/5/18T4:18:23.7	25.6998	34.4962	14	4.6	HP	AMT	21.7089	37.5324	482	492.9962104	60	60	60	5.32E-05	8.77E-06	-13964607.73	-13964616.93	-13964608.16	-13964617.36	1	-0.753530761	-0.282136428	-2.017061872	-0.515807616	0.110764242	0.02222386	0.173828639	-0.121445062	0.10801017	-0.122553795	-0.461402119	0.107071669	0.311828636	0.165433102	-0.178695094	0.099378435	-0.03846939	0.400549135	0.117004469	-0.04351318	0.168321075	-0.13043653	0.110764729	-0.047041807
193	2020/5/18T11:48:9.0	25.6073	34.3121	15	4.5	HP	AMT	21.7089	37.5324	482	501.6026267	60	60	60	3.50E-05	4.78E-06	-13937618.83	-13937628.03	-13937619	-13937628.2	1	-0.872184481	-0.427970309	-2.298036646	-0.655706001	0.140087429	0.02222386	0.173828639	-0.121445062	0.10801017	-0.10130913	-0.592341311	0.135626449	0.311828636	0.165433102	-0.178695094	0.099378435	-0.053364079	0.119249391	0.14483218	-0.04351318	0.168321075	-0.13043653	0.110764729	-0.046716837
196	2020/5/18T23:22:37.2	25.5762	34.3066	7	5.2	HP	AMT	21.7089	37.5324	482	499.9006248	60	60	60	0.000125152	2.08E-05	-13895955.35	-13895964.55	-13895962.13	-13895971.33	1	-1.033551056	-0.581007543	-1.539089446	-0.826509415	0.104603435	0.02222386	0.173828639	-0.121445062	0.10801017	-0.091872291	-0.81379422	0.101050847	0.311828636	0.165433102	-0.178695094	0.099378435	0.015051595	0.823476381	0.11129827	-0.04351318	0.168321075	-0.13043653	0.110764729	0.008003373
337	2020/6/28T11:18:35.0	26.6757	35.5289	8	4.4	HP	AMT	21.7089	37.5324	482	497.248033	60	60	60	4.05E-05	3.40E-06	-10396997.78	-10397006.98	-10396996.95	-10397006.15	1	-0.553777644	-0.116063026	-2.131528545	-0.007932511	0.176900345	0.02222386	0.173828639	-0.121445062	0.10801017	-0.430675783	0.062978717	0.171382307	0.311828636	0.165433102	-0.178695094	0.099378435	-0.396776824	0.645813932	0.181209306	-0.04351318	0.168321075	-0.13043653	0.110764729	-0.406773277
436	2020/9/18T16:28:18.6	25.2933	34.9338	52	5.3	HP	AMT	21.7089	37.5324	482	435.5145437	60	60	60	0.000486264	3.73E-05	-3293617.98	-3293627.182	-3293629.6	-3293638.802	1	-0.474450902	0.034471903	-0.839271267	-0.273046508	0.11201441	0.02222386	0.173828639	-0.121445062	0.10801017	-0.086235044	-0.229920928	0.108296396	0.311828636	0.165433102	-0.178695094	0.099378435	0.04665775	1.498907075	0.118139703	-0.04351318	0.168321075	-0.13043653	0.110764729	0.032390858
476	2020/10/12T0:30:41.2	26.293	35.6314	21	5.1	HP	AMT	21.7089	37.5324	482	461.7408756	60	60	60	0.000226922	2.58E-05	-1277489.42	-1277498.622	-1277489.56	-1277498.762	1	-0.641034246	-0.099992718	-1.199403446	-0.868885145	0.104558228	0.02222386	0.173828639	-0.121445062	0.10801017	0.343020249	-0.718689592	0.101010256	0.311828636	0.165433102	-0.178695094	0.099378435	0.400961793	0.762958612	0.111240824	-0.04351318	0.168321075	-0.13043653	0.110764729	0.408207143
477	2020/10/12T0:44:26.5	26.3168	35.6003	27	4.4	HP	AMT	21.7089	37.5324	482	465.6009047	60	60	60	4.22E-05	3.41E-06	-1276664.92	-1276674.122	-1276663	-1276672.202	1	-0.822327317	-0.335062733	-2.367507734	-0.138118991	0.145103528	0.02222386	0.173828639	-0.121445062	0.10801017	-0.569038976	-0.023105317	0.140510509	0.311828636	0.165433102	-0.178695094	0.099378435	-0.529692498	0.567691467	0.149660425	-0.04351318	0.168321075	-0.13043653	0.110764729	-0.564630001
481	2020/10/12T4:11:27.9	26.2926	35.6319	8	5.2	HP	AMT	21.7089	37.5324	482	461.2605375	60	60	60	0.000289627	3.06E-05	-1264239.33	-1264248.532	-1264241.23	-1264250.432	1	-0.570531437	-0.061986291	-1.040626557	-0.610439738	0.103953817	0.02222386	0.173828639	-0.121445062	0.10801017	0.155077651	-0.500548741	0.100412146	0.311828636	0.165433102	-0.178695094	0.099378435	0.220827369	1.103181701	0.110680821	-0.04351318	0.168321075	-0.13043653	0.110764729	0.226760943
127	2020/4/11T10:22:55.6	26.1795	35.2176	21	4.8	HL	ANKY	23.30117	35.86704	143	271.5873158	60	60	60	0.000356673	3.64E-05	-17139588.6	-17139597.8	-17139574.25	-17139583.45	1	-1.811586648	-1.460941228	-2.405173409	-0.225334057	0.110173683	-1.104102481	0.218291502	-0.121445062	0.10801017	-0.344756901	-0.112820926	0.106491447	-0.969976253	0.20888902	-0.178695094	0.099378435	-0.284050493	1.008544521	0.116456224	-0.802122384	0.211533176	-0.13043653	0.110764729	-0.284539526
